№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
238;RW6096;;Смазка RW-40 200мл;;522;шт;700;2;;;;;;1400;у9267;;
239;RW6098;;Смазка RW-40 400мл;;698;шт;900;1;;;;;;900;121359;;
240;RW6132;;Смазка RW-Графитовая 450мл;;593;шт;800;1;;;;;;800;121361;;
241;RW6085;;Смазка RW-Силиконовая 400мл;;710;шт;950;1;;;;;;950;121358;;
242;ГСМ-351;;Смазка ШРУС LUXOIL в тюбиках 100гр;;157;шт;220;20;;;;;;4400;67056;;
243;77758;;Съемник гранаты ВАЗ Сервис Ключ;;1239;шт;1600;2;;;;;;3200;3123;;
244;77768;;Съемник маслосъемных колпачков 7мм цанга Сервис Ключ;;602;шт;800;2;;;;;;1600;118951;;
245;77764;;Съемник маслосъемных колпачков 8мм цанга Сервис Ключ;;827;шт;1100;2;;;;;;2200;х9759;;
246;AK-F-01;;Съемник масляного фильтра Airline зажим 75-100мм;;415;шт;550;2;;;;;;1100;120626;;
247;AK-F-03;;Съемник масляного фильтра Airline краб 75-130мм;;1011;шт;1400;2;;;;;;2800;120624;;
248;77070;;Съемник подшипников генератора 2110 Сервис Ключ;;484;шт;700;2;;;;;;1400;118950;;
249;77721;;Съемник подшипников ступицы 2101 Сервис Ключ;;853;шт;1100;1;;;;;;1100;68315;;
250;77722;;Съемник подшипников ступицы 2108 Ульяновск;;967;шт;1300;2;;;;;;2600;4657;;
251;71771;;Съемник пружин 250мм с одинарным захватом оцинкован Сервис Ключ;;863;кт;1200;2;;;;;;2400;3114;;
252;70645;;Съемник рул наконечников 2101 Сервис Ключ;;678;шт;900;2;;;;;;1800;ф3989;;
253;71780;;Съемник рул наконечников и шаровых опор 2108-2110 Сервис Ключ;;1156;шт;1500;2;;;;;;3000;у4244;;
